Attraction,City
Basílica de la Sagrada Familia,"Barcelona, Spain"
Casa Batlló,"Barcelona, Spain"
Gothic Quarter (Barri Gotic),"Barcelona, Spain"
Palace of Catalan Music,"Barcelona, Spain"
Parc Guell,"Barcelona, Spain"
Mercat de la Boqueria,"Barcelona, Spain"
Casa Milà - La Pedrera,"Barcelona, Spain"
Spotify Camp Nou,"Barcelona, Spain"
Basílica de Santa Maria del Mar,"Barcelona, Spain"
Passeig de Gracia,"Barcelona, Spain"
Palau Güell,"Barcelona, Spain"
Casa Vicens Gaudí,"Barcelona, Spain"
Barcelona Cathedral,"Barcelona, Spain"
Museu Nacional d'Art de Catalunya - MNAC,"Barcelona, Spain"
The Magic Fountain,"Barcelona, Spain"
CosmoCaixa,"Barcelona, Spain"
Parc de la Ciutadella,"Barcelona, Spain"
Recinte Modernista de Sant Pau,"Barcelona, Spain"
Las Ramblas,"Barcelona, Spain"
Museu Picasso,"Barcelona, Spain"
Erotic Museum of Barcelona (Museu de l'Erotica),"Barcelona, Spain"
Parc de Montjuic,"Barcelona, Spain"
Tablao Flamenco Cordobes,"Barcelona, Spain"
El Born,"Barcelona, Spain"
Plaça d'Espanya,"Barcelona, Spain"
Joan Miro Foundation,"Barcelona, Spain"
Ciutat Vella,"Barcelona, Spain"
Museo Alien,"Barcelona, Spain"
Plaça Reial,"Barcelona, Spain"
Plaza de Catalunya,"Barcelona, Spain"
Templo del Sagrado Corazon de Jesus,"Barcelona, Spain"
Museu d'Historia de Barcelona - MUHBA,"Barcelona, Spain"
Montjuic Castle,"Barcelona, Spain"
La Barceloneta,"Barcelona, Spain"
Arc de Triomf,"Barcelona, Spain"
Casa Amatller,"Barcelona, Spain"
Port Vell,"Barcelona, Spain"
Barri de Gracia,"Barcelona, Spain"
Museu d'Història de Catalunya (Museum of Catalan History),"Barcelona, Spain"
Barcelona Wax Museum,"Barcelona, Spain"
L'Eixample District,"Barcelona, Spain"
Placa Sant Felip Neri,"Barcelona, Spain"
Suntransfers,"Barcelona, Spain"
Reial Monestir de Santa Maria de Pedralbes,"Barcelona, Spain"
Mercat Santa Caterina,"Barcelona, Spain"
Palau Dalmases,"Barcelona, Spain"
Gran Teatre del Liceu,"Barcelona, Spain"
Casa Lleo i Morera,"Barcelona, Spain"
CaixaForum  Barcelona,"Barcelona, Spain"
Parque del Laberint d'Horta,"Barcelona, Spain"
Mirador de Colom,"Barcelona, Spain"
Museo Banksy - Barcelona,"Barcelona, Spain"
Hash Marihuana & Hemp Museum,"Barcelona, Spain"
